DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20221020,0000,12.113,12.766,12.113,12.188,14 479 070
20221021,0000,12.11,12.498,11.889,12.464,14 617 880
20221024,0000,12.526,12.709,12.065,12.6,12 353 250
20221025,0000,12.699,13.3,12.6725,13.258,11 164 120
20221026,0000,12.858,13.385,12.711,12.896,10 238 440
20221027,0000,13.664,13.825,13.126,13.177,14 116 570
20221028,0000,13.089,13.85,13.076,13.833,14 346 600
20221031,0000,13.783,13.838,13.3,13.499,7 940 330
20221101,0000,13.821,13.925,13.522,13.54,9 566 510
20221102,0000,13.85,14.208,13.213,13.214,16 251 670
20221103,0000,13.046,13.78,12.957,13.422,11 302 060
20221104,0000,14,14.229,13.7,14.169,16 253 300
